ticker,year,quarter,end,val,qtstr,lobbying_costs,sector,industry,os_orgid
MSFT,2009,2,2009-06-30,77888000000,Q2,1890000.0,Technology,Software—Infrastructure,D000000115
MSFT,2009,3,2009-09-30,81612000000,Q3,1490000.0,Technology,Software—Infrastructure,D000000115
MSFT,2009,4,2009-12-31,82096000000,Q4,1690000.0,Technology,Software—Infrastructure,D000000115
MSFT,2010,1,2010-03-31,84910000000,Q1,1720000.0,Technology,Software—Infrastructure,D000000115
MSFT,2010,2,2010-06-30,86113000000,Q2,1850000.0,Technology,Software—Infrastructure,D000000115
MSFT,2010,3,2010-09-30,91540000000,Q3,1630000.0,Technology,Software—Infrastructure,D000000115
MSFT,2010,4,2010-12-31,92306000000,Q4,1710000.0,Technology,Software—Infrastructure,D000000115
MSFT,2011,1,2011-03-31,99727000000,Q1,1720000.0,Technology,Software—Infrastructure,D000000115
MSFT,2011,2,2011-06-30,108704000000,Q2,1852000.0,Technology,Software—Infrastructure,D000000115
MSFT,2011,3,2011-09-30,107415000000,Q3,1883000.0,Technology,Software—Infrastructure,D000000115
MSFT,2011,4,2011-12-31,112243000000,Q4,1880000.0,Technology,Software—Infrastructure,D000000115
MSFT,2012,1,2012-03-31,118010000000,Q1,1790000.0,Technology,Software—Infrastructure,D000000115
MSFT,2012,2,2012-06-30,121271000000,Q2,2006000.0,Technology,Software—Infrastructure,D000000115
MSFT,2012,3,2012-09-30,121876000000,Q3,1860000.0,Technology,Software—Infrastructure,D000000115
MSFT,2012,4,2012-12-31,128683000000,Q4,2430000.0,Technology,Software—Infrastructure,D000000115
MSFT,2013,1,2013-03-31,134105000000,Q1,2530000.0,Technology,Software—Infrastructure,D000000115
MSFT,2013,2,2013-06-30,142431000000,Q2,2960000.0,Technology,Software—Infrastructure,D000000115
MSFT,2013,3,2013-09-30,142348000000,Q3,2230000.0,Technology,Software—Infrastructure,D000000115
MSFT,2013,4,2013-12-31,153543000000,Q4,2770000.0,Technology,Software—Infrastructure,D000000115
MSFT,2014,1,2014-03-31,156119000000,Q1,2080000.0,Technology,Software—Infrastructure,D000000115
MSFT,2014,2,2014-06-30,172384000000,Q2,2340000.0,Technology,Software—Infrastructure,D000000115
MSFT,2014,3,2014-09-30,169656000000,Q3,1660000.0,Technology,Software—Infrastructure,D000000115
MSFT,2014,4,2014-12-31,174848000000,Q4,2250000.0,Technology,Software—Infrastructure,D000000115
MSFT,2015,1,2015-03-31,176683000000,Q1,1890000.0,Technology,Software—Infrastructure,D000000115
MSFT,2015,2,2015-06-30,176223000000,Q2,2240000.0,Technology,Software—Infrastructure,D000000115
MSFT,2015,3,2015-09-30,172896000000,Q3,1890000.0,Technology,Software—Infrastructure,D000000115
MSFT,2015,4,2015-12-31,180098000000,Q4,2470000.0,Technology,Software—Infrastructure,D000000115
MSFT,2016,1,2016-03-31,181869000000,Q1,2020000.0,Technology,Software—Infrastructure,D000000115
